Timestamp,From Bank,Account,To Bank,To Account,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2022-09-01 00:04:00,70,10042B660,20,800054200,700620.29,US Dollar,700620.29,US Dollar,Cheque,0
2022-09-01 00:17:00,70,10042B660,12,8001004E0,2885.95,US Dollar,2885.95,US Dollar,Cheque,0
2022-09-01 00:29:00,70,10042B660,12,8001004E0,5178.64,US Dollar,5178.64,US Dollar,Cash,0
2022-09-01 00:06:00,70,10042B660,12,8000EFB10,1096731.69,US Dollar,1096731.69,US Dollar,Cheque,0
2022-09-01 00:02:00,70,10042B660,12,8000EFB10,2623544.8,US Dollar,2623544.8,US Dollar,Cash,0
2022-09-01 00:20:00,70,10042B660,1231,80013AF70,3834.34,US Dollar,3834.34,US Dollar,Cheque,0
2022-09-01 00:23:00,70,10042B660,1231,80013AF70,5742.37,US Dollar,5742.37,US Dollar,Credit Card,0
2022-09-01 00:20:00,70,10042B660,1231,80013AF70,1121.28,US Dollar,1121.28,US Dollar,Cash,0
2022-09-01 00:13:00,70,10042B660,12,80014CEB0,40841.65,US Dollar,40841.65,US Dollar,Cheque,0
2022-09-01 00:18:00,70,10042B660,12,80014CEB0,4958.3,US Dollar,4958.3,US Dollar,Credit Card,0
2022-09-01 00:15:00,70,10042B660,12,80014CEB0,26585.18,US Dollar,26585.18,US Dollar,Cash,0
2022-09-01 00:20:00,70,10042B660,1217,80014DE20,4874.26,US Dollar,4874.26,US Dollar,Credit Card,0
2022-09-01 00:01:00,70,10042B660,1217,80014DE20,118286.57,US Dollar,118286.57,US Dollar,Cash,0
2022-09-01 00:07:00,70,10042B660,20,80014EC60,101581.08,US Dollar,101581.08,US Dollar,Cheque,0
2022-09-01 00:24:00,70,10042B660,20,80014EC60,21818.29,US Dollar,21818.29,US Dollar,Credit Card,0
2022-09-01 00:01:00,70,10042B660,20,80014EC60,5229.74,US Dollar,5229.74,US Dollar,Cash,0
2022-09-01 00:19:00,70,10042B660,224,800150160,2333.81,US Dollar,2333.81,US Dollar,Cheque,0
2022-09-01 00:17:00,70,10042B660,224,800150160,3408.97,US Dollar,3408.97,US Dollar,Credit Card,0
2022-09-01 00:03:00,70,10042B660,224,800150160,11763.12,US Dollar,11763.12,US Dollar,Cash,0
2022-09-01 00:13:00,70,10042B660,20,800183110,1190.81,US Dollar,1190.81,US Dollar,Cheque,0
2022-09-01 00:20:00,70,10042B660,20,800183110,5422.57,US Dollar,5422.57,US Dollar,Credit Card,0
2022-09-01 00:02:00,70,10042B660,1231,80018A810,9725.97,US Dollar,9725.97,US Dollar,Cheque,0
2022-09-01 00:06:00,70,10042B660,1231,80018A810,10895.97,US Dollar,10895.97,US Dollar,Credit Card,0
2022-09-01 00:22:00,70,10042B660,1231,80018A810,7984.69,US Dollar,7984.69,US Dollar,Cash,0
2022-09-01 00:03:00,70,10042B660,224,800192930,78982.61,US Dollar,78982.61,US Dollar,Cheque,0
2022-09-01 00:04:00,70,10042B660,1291,8001D22D0,72615.0,US Dollar,72615.0,US Dollar,Cheque,0
