Timestamp,From Bank,Account,To Bank,To Account,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2022-09-01 00:22:00,70,10042B7C8,18,8099B1190,728687.05,Ruble,728687.05,Ruble,Cheque,0
2022-09-01 00:00:00,70,10042B7C8,18,8099B1190,376378.11,Ruble,376378.11,Ruble,Credit Card,0
2022-09-01 00:11:00,70,10042B7C8,285,80AFA5F50,5948024.79,Ruble,5948024.79,Ruble,Cheque,0
2022-09-01 00:26:00,70,10042B7C8,285,80AFA5F50,1059085.84,Ruble,1059085.84,Ruble,Credit Card,0
2022-09-01 00:04:00,70,10042B7C8,285,80AFA5F50,792289.15,Ruble,792289.15,Ruble,Cash,0
2022-09-01 00:15:00,70,10042B7C8,16,80AFB1120,2313086.7,Ruble,2313086.7,Ruble,Cheque,0
2022-09-01 00:02:00,70,10042B7C8,16,80AFB1120,424054.85,Ruble,424054.85,Ruble,Credit Card,0
2022-09-01 00:06:00,70,10042B7C8,16,80AFB1120,30575.12,Ruble,30575.12,Ruble,Cash,0
2022-09-01 00:19:00,70,10042B7C8,27,80AFB3130,388722.6,Ruble,388722.6,Ruble,Cheque,0
2022-09-01 00:18:00,70,10042B7C8,27,80AFB3130,287709.99,Ruble,287709.99,Ruble,Cash,0
2022-09-01 00:12:00,70,10042B7C8,23,80AFCBED0,151784.29,Ruble,151784.29,Ruble,Cheque,0
2022-09-01 00:18:00,70,10042B7C8,23,80AFCBED0,325534.51,Ruble,325534.51,Ruble,Cash,0
2022-09-01 00:15:00,70,10042B7C8,27,80AFDEC70,237342.23,Ruble,237342.23,Ruble,Cheque,0
2022-09-01 00:26:00,70,10042B7C8,27,80AFDEC70,356191.07,Ruble,356191.07,Ruble,Cash,0
2022-09-01 00:01:00,70,10042B7C8,16,80AFE97C0,748904.18,Ruble,748904.18,Ruble,Cheque,0
2022-09-01 00:02:00,70,10042B7C8,16,80AFE97C0,2244442.43,Ruble,2244442.43,Ruble,Credit Card,0
2022-09-01 00:28:00,70,10042B7C8,16,80AFE97C0,234797.73,Ruble,234797.73,Ruble,Cash,0
2022-09-01 00:22:00,70,10042B7C8,18,80AFF2440,2194512.25,Ruble,2194512.25,Ruble,Cheque,0
2022-09-01 00:00:00,70,10042B7C8,18,80AFF2440,1278157.67,Ruble,1278157.67,Ruble,Credit Card,0
2022-09-01 00:09:00,70,10042B7C8,18,80AFF2440,613861.0,Ruble,613861.0,Ruble,Cash,0
2022-09-01 00:10:00,70,10042B7C8,16,80B00F140,1642736.18,Ruble,1642736.18,Ruble,Cheque,0
2022-09-01 00:12:00,70,10042B7C8,27,80B4A7E60,800492.23,Ruble,800492.23,Ruble,Cheque,0
2022-09-01 00:12:00,70,10042B7C8,27,80B4A7E60,207792.02,Ruble,207792.02,Ruble,Credit Card,0
2022-09-01 00:14:00,70,10042B7C8,16,80B4ADB60,15998725.91,Ruble,15998725.91,Ruble,Cheque,0
2022-09-01 00:10:00,70,10042B7C8,16,80B4ADB60,16842070.75,Ruble,16842070.75,Ruble,Cash,0
2022-09-01 00:26:00,70,10042B7C8,19,80B4BE450,4199924.52,Ruble,4199924.52,Ruble,Cheque,0
2022-09-01 00:08:00,70,10042B7C8,19,80B4BE450,855825.16,Ruble,855825.16,Ruble,Credit Card,0
2022-09-01 00:19:00,70,10042B7C8,19,80B4BE450,962930.54,Ruble,962930.54,Ruble,Cash,0
2022-09-01 00:25:00,70,10042B7C8,23,80B4EB380,2491432.9,Ruble,2491432.9,Ruble,Cheque,0
2022-09-01 00:27:00,70,10042B7C8,23,80B4EB380,472125.44,Ruble,472125.44,Ruble,Credit Card,0
2022-09-01 00:14:00,70,10042B7C8,18,80B4EEAC0,5519229.05,Ruble,5519229.05,Ruble,Cheque,0
2022-09-01 00:01:00,70,10042B7C8,18,80B4EEAC0,5626.49,Ruble,5626.49,Ruble,Credit Card,0
2022-09-01 00:06:00,70,10042B7C8,230595,80B5028C0,4098096.61,Ruble,4098096.61,Ruble,Cheque,0
2022-09-01 00:16:00,70,10042B7C8,19,80B5211B0,2087867792.92,Ruble,2087867792.92,Ruble,Cheque,0
2022-09-01 00:16:00,70,10042B7C8,19,80B5211B0,2017533.14,Ruble,2017533.14,Ruble,Credit Card,0
2022-09-01 00:18:00,70,10042B7C8,19,80B5211B0,172536074.87,Ruble,172536074.87,Ruble,Cash,0
2022-09-01 00:27:00,70,10042B7C8,285,80B522070,1869732.86,Ruble,1869732.86,Ruble,Cheque,0
2022-09-01 00:04:00,70,10042B7C8,285,80B522070,957519.06,Ruble,957519.06,Ruble,Cash,0
2022-09-01 00:03:00,70,10042B7C8,23,80B538220,1475148.5,Ruble,1475148.5,Ruble,Cheque,0
2022-09-01 00:06:00,70,10042B7C8,23,80B538220,1363862.93,Ruble,1363862.93,Ruble,Cash,0
2022-09-01 00:21:00,70,10042B7C8,30959,80B547F40,2677849.17,Ruble,2677849.17,Ruble,Cheque,0
2022-09-01 00:26:00,70,10042B7C8,30959,80B547F40,2191930.95,Ruble,2191930.95,Ruble,Credit Card,0
2022-09-01 00:14:00,70,10042B7C8,30959,80B547F40,69954.16,Ruble,69954.16,Ruble,Cash,0
2022-09-01 00:03:00,70,10042B7C8,131036,80B54B4A0,3180418.19,Ruble,3180418.19,Ruble,Cheque,0
2022-09-01 00:10:00,70,10042B7C8,131036,80B54B4A0,350595.99,Ruble,350595.99,Ruble,Credit Card,0
2022-09-01 00:27:00,70,10042B7C8,131036,80B54B4A0,1449191.01,Ruble,1449191.01,Ruble,Cash,0
2022-09-01 00:01:00,70,10042B7C8,285,80BA9F9E0,928792.86,Ruble,928792.86,Ruble,Credit Card,0
2022-09-01 00:10:00,70,10042B7C8,285,80BD11A40,3737421.74,Ruble,3737421.74,Ruble,Cheque,0
2022-09-01 00:28:00,70,10042B7C8,16,80BD25000,1932404.93,Ruble,1932404.93,Ruble,Cheque,0
2022-09-01 00:15:00,70,10042B7C8,16,80BD25000,500627.03,Ruble,500627.03,Ruble,Credit Card,0
2022-09-01 00:16:00,70,10042B7C8,132300,80BE0A6C0,37902448.26,Ruble,37902448.26,Ruble,Cheque,0
2022-09-01 00:13:00,70,10042B7C8,285,80BE7E020,193886.36,Ruble,193886.36,Ruble,Cheque,0
2022-09-01 00:18:00,70,10042B7C8,285,80BE7E020,40442.63,Ruble,40442.63,Ruble,Credit Card,0
2022-09-01 00:24:00,70,10042B7C8,230595,80BEB9110,484465.39,Ruble,484465.39,Ruble,Cheque,0
2022-09-01 00:01:00,70,10042B7C8,230595,80BEB9110,233237.98,Ruble,233237.98,Ruble,Cash,0
2022-09-01 00:11:00,70,10042B7C8,23,80BEFE1C0,8361231.14,Ruble,8361231.14,Ruble,Cheque,0
2022-09-01 00:25:00,70,10042B7C8,132448,80BF39F90,1839841023.92,Ruble,1839841023.92,Ruble,Cheque,0
